name,categories
Alligator Clip,Misc. Tools
Soap Box Project Enclosure,Enclosures
USB Female Type B Connector,USB Connectors
Breadboard - Small Self-Adhesive,Prototyping Boards
2.4GHz Duck Antenna RP-SMA,Antennas
Bluetooth DIP Module - Mitsumi,Wireless and IoT
Bluetooth SMD Module - Mitsumi,
SparkFun Transceiver Breakout - nRF2401A (Chip Antenna),Nordic
Modem Long Range 433MHz: UM96 - Includes Antenna and Cable,Modem
Transceiver nRF2401A with Trace Antenna,Wireless and IoT
2.4GHz Ceramic Chip Antenna,Antennas
SparkFun Trace Antenna Transceiver - nRF2401A,Nordic
12 Channel Lassen IQ GPS Receiver with DGPS,GPS
Bluetooth USB Module,Wireless and IoT
Bluetooth Modem - BlueSMiRF RP-SMA,Wireless and IoT
Lassen iQ SMD Mating Header,GPS
Interface Cable SMA to H.FL,"Antennas,Antennas"
GPS Embedded Antenna SMA,Antennas
Antenna GPS Ultra-Compact Embedded HFL for Lassen IQ,GPS
SparkFun Adapter Board - ICD/ICD2,Breakout Boards
Breakout Board for RF-24G Transceiver,Breakout Boards
Adapter board for SFE ICSP Connections,Breakout Boards
Ethernet Interface Board - CS8900A,Breakout Boards
SparkFun USB to Serial GPIO Breakout - CP2103,Breakout Boards
Breakout Board for Photo Interrupter CNZ1120,Breakout Boards
Breakout Board for SD-MMC Cards,Breakout Boards
Breakout Board CF Compact Flash Cards - Full (Sale),Breakout Boards
AVR 40 Pin 16MHz 32K 8A/D - ATMega32,AVR Microcontrollers
AVR 20 Pin 20MHz 2K - ATtiny2313,AVR Microcontrollers
PIC 18 Pin 20MHz 2K - 16F628A,Components
PIC 8 Pin 20MHz 2K 4A/D - 12F683,Components
SparkFun USB to Serial Breakout - CP2102,Breakout Boards
AVR 28 Pin 16MHz 8K 6A/D - ATMega8,Development Tools
AVR 8 Pin 10MHz 1K 4A/D - ATtiny13,Components
PIC 18 Pin 7-A/D 20MHz 4K - 16F88,Components
PIC 40 Pin 20MHz 8K 8A/D - 16F877A,Components
PIC 18 Pin 40MHz 4K 7A/D - 18F1320,Components
PIC 28 Pin 40MHz 32K 10A/D - 18F2520,Components
PIC 18 Pin 20MHz 1K - 16F84A,Components
PIC 40 Pin 48MHz 16K 13A/D USB - 18F4550,Components
Infrared Emitters and Detectors,Infrared
MicroMag 3-Axis Magnetometer,Sensors
MicroMag 2-Axis Magnetometer,Sensors
Infrared Proximity Sensor - Sharp GP2Y0A21YK,"Infrared,Distance"
Optical Detector / Phototransistor - QRD1114,Infrared
PIC 14 Pin 20MHz 4K 8A/D - 16F688,Components
Thermistor 10K,Temperature
One Wire Digital Temperature Sensor - DS18B20,Temperature
Serial Accelerometer Tri-Axis - Dongle,Sensors
Thermocouple Type-K - Glass Braid Insulated (Bare Wire),Temperature
Basic 16x2 Character LCD - Black on Green 5V,Monochrome
Basic 20x4 Character LCD - Black on Green 5V,Monochrome
Graphic LCD 128x64 CFAX w/ EL Backlight and Touchscreen,LCDs and OLEDs
Triple Axis Accelerometer Breakout - MMA7260Q,Sensors
Terminal Development Board - LPC2106,Development Tools
Header Board for LPC2124,Development Tools
Development Platform for LPC2214,Development Tools
Terminal Development Board - LPC2138,Development Tools
PIC 28 Pin 20MHz 8K 8A/D - 16F876A,Components
Web Interface Board for LPC2124 w/ USB,Development Tools
